layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p,mean_p_base,std_p_base,mean_p_patch,std_p_patch,mean_p_base_target,mean_p_patch_target,mean_delta_p_target,mean_delta_logit,std_delta_logit,mean_abs_delta_logit,mean_logit_base,mean_logit_patch,mean_delta_logprob,std_delta_logprob,mean_abs_delta_logprob,mean_logprob_base,mean_logprob_patch,any_nonzero,mean_act_norm,clean_mean_norm
13,18,25,0.0006582212448120118,0.0021037243200659472,0.0008071470260620117,0.007979826927185059,0.01743489560514336,0.00863804817199707,0.01900429777054705,0.007979826927185059,0.00863804817199707,0.0006582212448120118,0.0521875,0.08267884261178914,0.0796875,7.55265625,7.60484375,0.07828125,0.0625510533671796,0.083125,-6.49125,-6.41296875,True,1.5395570993423462,1.5395570993423462
21,26,25,0.0006424951553344727,0.0011912846404324145,0.0006425333023071289,0.007979826927185059,0.01743489560514336,0.008622322082519531,0.017883113714581508,0.007979826927185059,0.008622322082519531,0.0006424951553344727,0.06734375,0.10901324102488652,0.07359375,7.55265625,7.62,0.084375,0.11003567203908808,0.085,-6.49125,-6.406875,True,0.4458664059638977,0.4458664059638977
15,19,25,0.0005994033813476562,0.0014724926207914648,0.000653076171875,0.007979826927185059,0.01743489560514336,0.008579230308532715,0.01867428336122774,0.007979826927185059,0.008579230308532715,0.0005994033813476562,0.05515625,0.09702181415473017,0.09265625,7.55265625,7.6078125,0.019921875,0.07365741672813743,0.061796875,-6.49125,-6.471328125,True,0.43700918555259705,0.43700918555259705
12,7,25,0.0005846595764160156,0.0023513858348797223,0.0006060028076171876,0.007979826927185059,0.01743489560514336,0.008564486503601074,0.018531169813562006,0.007979826927185059,0.008564486503601074,0.0005846595764160156,0.01859375,0.09543588325415131,0.05265625,7.55265625,7.57125,0.020703125,0.08536742737279834,0.050703125,-6.49125,-6.470546875,True,0.6178268194198608,0.6178268194198608
21,2,25,0.0005394983291625977,0.0013961339440984712,0.000548548698425293,0.007979826927185059,0.01743489560514336,0.008519325256347656,0.018548150532391925,0.007979826927185059,0.008519325256347656,0.0005394983291625977,0.0690625,0.07560562768405538,0.0853125,7.55265625,7.62171875,0.039375,0.060365605667931886,0.0596875,-6.49125,-6.451875,True,0.7501494884490967,0.7501494884490967
13,13,25,0.0005340099334716797,0.0017056977534549685,0.0006470394134521485,0.007979826927185059,0.01743489560514336,0.008513836860656739,0.018389179032257272,0.007979826927185059,0.008513836860656739,0.0005340099334716797,0.0225,0.11774492425365944,0.10125,7.55265625,7.57515625,0.020546875,0.08306844293073935,0.067734375,-6.49125,-6.470703125,True,0.7002832889556885,0.7002832889556885
26,10,25,0.0005304193496704101,0.0022715723147979806,0.0005665731430053711,0.007979826927185059,0.01743489560514336,0.008510246276855468,0.019445993230282992,0.007979826927185059,0.008510246276855468,0.0005304193496704101,0.03265625,0.059865164249544994,0.04953125,7.55265625,7.5853125,0.028984375,0.05029114453609104,0.039609375,-6.49125,-6.462265625,True,1.1988565921783447,1.1988565921783447
14,19,25,0.0005257034301757813,0.0013158011082541358,0.0005260467529296875,0.007979826927185059,0.01743489560514336,0.00850553035736084,0.018709626700425915,0.007979826927185059,0.00850553035736084,0.0005257034301757813,0.0471875,0.050157466885549555,0.05375,7.55265625,7.59984375,0.04734375,0.03760272388737284,0.04890625,-6.49125,-6.44390625,True,1.8371868133544922,1.8371868133544922
10,14,25,0.0005112552642822266,0.0015433085029093413,0.0005568504333496094,0.007979826927185059,0.01743489560514336,0.008491082191467285,0.01848458749848055,0.007979826927185059,0.008491082191467285,0.0005112552642822266,0.01984375,0.06900626952947826,0.05046875,7.55265625,7.5725,0.02796875,0.05837385822625356,0.0425,-6.49125,-6.46328125,True,1.2760536670684814,1.2760536670684814
19,11,25,0.0005059099197387695,0.0014912336021012818,0.000517582893371582,0.007979826927185059,0.01743489560514336,0.008485736846923829,0.01884272875016323,0.007979826927185059,0.008485736846923829,0.0005059099197387695,0.055625,0.06561830322973919,0.0675,7.55265625,7.60828125,0.03578125,0.06199434119211003,0.05296875,-6.49125,-6.45546875,True,0.5757966637611389,0.5757966637611389
14,31,25,0.0004872322082519531,0.0012614202141499058,0.0005092239379882813,0.007979826927185059,0.01743489560514336,0.008467059135437011,0.01827950302026535,0.007979826927185059,0.008467059135437011,0.0004872322082519531,0.04578125,0.0564181514452574,0.05515625,7.55265625,7.5984375,0.038359375,0.04838038467285838,0.048984375,-6.49125,-6.452890625,True,1.320216178894043,1.320216178894043
10,17,25,0.0004855680465698242,0.0021604422183310453,0.0005985689163208008,0.007979826927185059,0.01743489560514336,0.008465394973754883,0.019283900213371005,0.007979826927185059,0.008465394973754883,0.0004855680465698242,0.029375,0.06667793687288923,0.055,7.55265625,7.58203125,0.02421875,0.047176763058271065,0.0396875,-6.49125,-6.46703125,True,0.941805899143219,0.941805899143219
10,8,25,0.00048230171203613283,0.0020156618780633982,0.000548858642578125,0.007979826927185059,0.01743489560514336,0.008462128639221191,0.018502209594042338,0.007979826927185059,0.008462128639221191,0.00048230171203613283,0.02359375,0.07344979950193874,0.04390625,7.55265625,7.57625,0.015234375,0.061869377111934375,0.033203125,-6.49125,-6.476015625,True,0.5335568189620972,0.5335568189620972
13,2,25,0.000478668212890625,0.0012011584150229348,0.000513763427734375,0.007979826927185059,0.01743489560514336,0.008458495140075684,0.018536415439032134,0.007979826927185059,0.008458495140075684,0.000478668212890625,0.02671875,0.04759447840873981,0.03859375,7.55265625,7.579375,0.042734375,0.04438820226141176,0.047109375,-6.49125,-6.448515625,True,1.3378187417984009,1.3378187417984009
18,12,25,0.00047844409942626953,0.002004452910213635,0.0005399656295776368,0.007979826927185059,0.01743489560514336,0.008458271026611328,0.0191906169279635,0.007979826927185059,0.008458271026611328,0.00047844409942626953,0.021875,0.048286053563632636,0.0425,7.55265625,7.57453125,0.022421875,0.03968688483775213,0.035390625,-6.49125,-6.468828125,True,1.1947762966156006,1.1947762966156006
21,19,25,0.0004681396484375,0.002157918170522371,0.0005931663513183594,0.007979826927185059,0.01743489560514336,0.008447966575622558,0.019337976964826135,0.007979826927185059,0.008447966575622558,0.0004681396484375,0.014375,0.0812103268525623,0.066875,7.55265625,7.56703125,0.031484375,0.07087948481180927,0.061796875,-6.49125,-6.459765625,True,1.5774554014205933,1.5774554014205933
14,5,25,0.0004637289047241211,0.0010010933034964038,0.0004644918441772461,0.007979826927185059,0.01743489560514336,0.008443555831909179,0.01787260239249592,0.007979826927185059,0.008443555831909179,0.0004637289047241211,0.0571875,0.08847034504920279,0.0584375,7.55265625,7.60984375,0.05734375,0.07898333178094445,0.05828125,-6.49125,-6.43390625,True,0.6024609804153442,0.6024609804153442
