q_id,layer,baseline_layer,super_layer,acc_base_baseline,acc_base_super,diff_acc_base,acc_with_baseline,acc_with_super,diff_acc_with,delta_acc_baseline,delta_acc_super,diff_delta_acc,mean_delta_logprob_baseline,mean_delta_logprob_super,diff_mean_delta_logprob,mean_delta_p_baseline,mean_delta_p_super,diff_mean_delta_p,mean_delta_logit_baseline,mean_delta_logit_super,diff_mean_delta_logit
Q5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13969001770019532,2.430404281616211,2.2907142639160156,0.0006797253226977773,0.024156581463466865,0.023476856140769088,2.73203125,2.86796875,0.13593750000000027
Q5,6,6,6,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,1.3390818595886231,2.6129403114318848,1.2738584518432616,0.009334352026053238,0.030651612613291947,0.021317260587238707,2.967578125,2.748046875,-0.21953125000000018
Q5,7,7,7,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,1.805711555480957,2.752523326873779,0.9468117713928221,0.013513289683032781,0.030629562235844787,0.017116272552812006,3.122265625,3.152734375,0.030468750000000266
Q5,8,8,8,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0.2,0.1,2.8323763847351073,3.434041881561279,0.6016654968261719,0.04204895509610651,0.05838419978827005,0.01633524469216354,4.645703125,4.34453125,-0.30117187499999964
Q5,9,9,9,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.0,3.345575523376465,3.5019647598266603,0.1563892364501953,0.06235384179017274,0.05071360848232871,-0.011640233307844028,5.178515625,4.403125,-0.775390625
Q5,10,10,10,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,3.5302671432495116,3.292075824737549,-0.23819131851196262,0.08331262831197819,0.040655478577537,-0.042657149734441194,5.296875,4.18828125,-1.1085937499999998
Q5,11,11,11,0.0,0.0,0.0,0.5,0.1,-0.4,0.5,0.1,-0.4,3.7206130027770996,3.4514400482177736,-0.269172954559326,0.13293994851846946,0.058164264912193175,-0.07477568360627629,5.53828125,4.01171875,-1.5265624999999998
Q5,12,12,12,0.0,0.0,0.0,0.5,0.1,-0.4,0.5,0.1,-0.4,3.9974833488464356,3.5649059295654295,-0.4325774192810061,0.1819533109999611,0.06481427035614615,-0.11713904064381495,6.023046875,4.66875,-1.3542968750000002
Q5,13,13,13,0.0,0.0,0.0,0.5,0.2,-0.3,0.5,0.2,-0.3,4.047471332550049,3.595883846282959,-0.45158748626708967,0.19426307945832377,0.07246312390634557,-0.1217999555519782,5.9,4.91640625,-0.9835937500000007
Q5,14,14,14,0.0,0.0,0.0,0.4,0.3,-0.10000000000000003,0.4,0.3,-0.10000000000000003,3.8901062965393067,3.3146629333496094,-0.5754433631896974,0.13811632035503862,0.058313352485129144,-0.07980296786990948,5.21796875,4.3265625,-0.8914062500000002
