q_id,layer,acc_base,acc_with,delta_acc,mean_delta_logprob,mean_delta_p
Q5,29,0.0,0.0,0.0,-0.542674446105957,-0.00044139633973827586
Q5,30,0.0,0.0,0.0,-1.291112232208252,-0.0009094829209061572
Q5,31,0.0,0.0,0.0,-1.2594374656677245,-0.0009468600892432733
Q6,0,0.0,0.0,0.0,1.416631317138672,0.006661704392536194
Q6,1,0.0,0.0,0.0,1.4253326416015626,0.007985972200185643
Q6,2,0.0,0.0,0.0,0.9442659378051758,0.01211772300339362
Q6,3,0.0,0.0,0.0,0.5085652351379395,0.0028179290118714563
Q6,4,0.0,0.0,0.0,1.3155460357666016,0.009209586866563767
Q6,5,0.0,0.0,0.0,1.8439815521240235,0.016406299505979403
Q6,6,0.0,0.0,0.0,2.037821960449219,0.0161626320801588
Q6,7,0.0,0.0,0.0,2.3046624183654787,0.02630787644338852
Q6,8,0.0,0.0,0.0,2.3253451347351075,0.026997840957847075
Q6,9,0.0,0.1,0.1,2.3262487411499024,0.026325664803516703
Q6,10,0.0,0.1,0.1,2.447038269042969,0.028586313722553314
Q6,11,0.0,0.1,0.1,2.3018125534057616,0.021998345964311737
Q6,12,0.0,0.2,0.2,2.9634944915771486,0.05091806964519492
Q6,13,0.0,0.3,0.3,3.3614360809326174,0.09629299151747546
Q6,14,0.0,0.2,0.2,3.2194379806518554,0.0713900500388263
Q6,15,0.0,0.2,0.2,3.0259881019592285,0.05036184648088238
Q6,16,0.0,0.2,0.2,2.4772856712341307,0.030508980658851215
Q6,17,0.0,0.0,0.0,1.796126937866211,0.015007159502783907
Q6,18,0.0,0.0,0.0,1.5357998847961425,0.010637422791114659
Q6,19,0.0,0.0,0.0,1.2127469062805176,0.00738123944720428
Q6,20,0.0,0.0,0.0,1.1562384605407714,0.006250516871295986
Q6,21,0.0,0.0,0.0,0.6776329040527344,0.002512940974338562
Q6,22,0.0,0.0,0.0,0.419355583190918,0.0010836956043931423
Q6,23,0.0,0.0,0.0,0.4170318603515625,0.000995979720391915
