layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p
10,13,50,0.0005175757687538862,0.0015883463202044368,0.0005700421170331538
25,18,50,0.0001195871809613891,0.0016939133638516068,0.0005686485674232244
10,14,50,-0.0002143836027244106,0.0021881633438169956,0.0005667996592819691
19,2,50,-0.00023766518279444426,0.0019041163614019752,0.0005604839534498751
10,9,50,-0.00015689492283854634,0.0021532634273171425,0.0005580317811109126
11,18,50,0.0005054736393503845,0.0017306661466136575,0.0005541777354665101
17,3,50,-0.00046486020437441766,0.0021070092916488647,0.0005527198081836104
9,16,50,0.0005244624335318804,0.0013293452793732285,0.000544444308616221
12,19,50,-0.000262447603745386,0.0017858474748209119,0.0005440461682155728
10,3,50,-0.0004807937075383961,0.0012088236398994923,0.0005425799172371626
22,0,50,1.345753662462812e-05,0.001691182958893478,0.0005390775040723383
12,8,50,-4.398942110128701e-05,0.0012654709862545133,0.000536757695954293
12,24,50,-0.00029731751419603825,0.0014107292518019676,0.0005332827568054199
11,16,50,0.00042901517008431256,0.0013578487560153008,0.0005314588779583573
16,16,50,-7.13527188054286e-05,0.001482367399148643,0.0005303704529069364
9,29,50,0.0005204427288845181,0.0012802426936104894,0.0005278909229673445
22,3,50,-0.00047201276174746454,0.002983057638630271,0.0005278265452943742
18,12,50,0.0005114424275234342,0.0015805417206138372,0.0005268108798190951
25,23,50,0.0005177652928978205,0.0015546227805316448,0.0005263579078018665
26,13,50,-0.00031959175248630345,0.002012695884332061,0.0005251491093076766
10,2,50,0.00045428992598317564,0.00141836516559124,0.0005250764079391956
13,5,50,-0.000509866455104202,0.0012521692551672459,0.0005226552602835
8,14,50,-7.596016075694934e-05,0.001570903928950429,0.0005212473915889859
26,3,50,-0.00023680328740738332,0.0020549241453409195,0.0005210626404732466
15,26,50,-0.0002511906495783478,0.0013283825246617198,0.0005194807308726013
9,28,50,-0.0001739096624078229,0.0013810275122523308,0.0005175137775950134
10,22,50,5.127072290633805e-05,0.001725764130242169,0.0005166495102457702
14,25,50,-0.0005094051593914628,0.0014656989369541407,0.000516543397679925
14,31,50,6.965756620047614e-05,0.001344136195257306,0.0005137789412401617
15,11,50,-2.1113157345098443e-05,0.0012660102220252156,0.0005101311253383756
30,27,50,0.00044904471724294126,0.001969113014638424,0.0005045461584813893
13,12,50,0.0004394304705783725,0.0022171642631292343,0.0005009949090890586
8,30,50,0.00019655942742247134,0.001429918804205954,0.0004991316818632185
7,22,50,0.0004973483155481517,0.0012323831906542182,0.0004974246257916093
13,2,50,0.0001801419275579974,0.0013036237796768546,0.000495612621307373
14,4,50,9.786367445485666e-05,0.0012390570482239127,0.0004934382159262896
14,5,50,0.0004864180227741599,0.0012672924203798175,0.0004883373039774597
11,11,50,-0.0001915156899485737,0.0015123310731723905,0.000484882591990754
13,0,50,-9.134411811828613e-05,0.0013909951085224748,0.0004836452135350555
13,7,50,-0.0004227626195643097,0.0017206408083438873,0.00048144697211682796
14,0,50,0.00023601412249263376,0.002016780199483037,0.00047931313747540116
13,20,50,0.000287044036667794,0.0011071535991504788,0.0004765772901009768
17,16,50,0.00043703793198801577,0.0017427935963496566,0.0004763865435961634
20,8,50,0.00044203997822478414,0.0012663051020354033,0.0004712343215942383
15,22,50,-0.0004235565720591694,0.0018196188611909747,0.00046875595580786467
11,26,50,0.00029101609834469855,0.001805615145713091,0.0004652857896871865
17,6,50,-8.183002501027659e-05,0.0010934255551546812,0.0004651022027246654
14,15,50,0.0002589070936664939,0.0017048368463292718,0.00046502231271006167
31,25,50,-0.0004085421678610146,0.001481168786995113,0.0004641151463147253
19,16,50,0.00039382337126880884,0.0017138529801741242,0.00046313644270412624
17,20,50,0.00045360682997852564,0.0012319572269916534,0.00046226143604144454
26,10,50,0.00036561727756634355,0.0011580900754779577,0.0004610729229170829
22,30,50,0.00017698407464195043,0.0012864266755059361,0.00045969843631610274
17,27,50,-2.44200236920733e-05,0.0011094703804701567,0.00045688272803090513
11,24,50,-0.0002580976579338312,0.0012104588095098734,0.00045607329229824245
27,21,50,-0.0001941943191923201,0.0013088969280943274,0.00045223237248137593
12,10,50,9.900927398120984e-05,0.0011245980858802795,0.0004519522190093994
28,25,50,0.00024352074251510203,0.0016695436788722873,0.0004472160362638533
30,0,50,0.00042974232928827405,0.001358588575385511,0.00044720410369336605
11,22,50,-0.0001625359000172466,0.0010621324181556702,0.0004465210367925465
29,8,50,-0.0003456377889961004,0.001674107974395156,0.0004449987318366766
12,27,50,3.590464621083811e-05,0.0011743954382836819,0.00044376731966622174
9,6,50,0.0003868353378493339,0.0010981763480231166,0.0004433190915733576
11,27,50,0.00040893079130910337,0.0018713423050940037,0.0004428339016158134
13,3,50,0.00022903562057763338,0.0012247213162481785,0.00043552040006034076
10,15,50,0.00010258435941068456,0.001557632233016193,0.0004321408341638744
19,9,50,-0.00034035564749501646,0.0014521550619974732,0.00042592405225150287
30,13,50,3.143429785268381e-05,0.0012300375383347273,0.0004231155035085976
12,13,50,0.00037980079650878906,0.0012186418753117323,0.0004218578396830708
16,22,50,9.544014756102115e-05,0.001375424675643444,0.0004214894725009799
9,24,50,-0.00014100670523475856,0.0014737744349986315,0.0004193413187749684
14,20,50,-7.761120650684461e-05,0.001037250622175634,0.0004188764141872525
31,3,50,-0.00033717870246618986,0.0015213136794045568,0.0004170441534370184
28,21,50,-0.00022778630955144763,0.0009352372144348919,0.0004166638827882707
21,30,50,-0.0003361427807249129,0.002368156798183918,0.0004138958465773612
17,13,50,0.0004103243409190327,0.0009784232825040817,0.00041376709123142064
12,4,50,0.0003321647527627647,0.001247216947376728,0.0004132819303777069
30,28,50,-5.1281451305840164e-05,0.001243910868652165,0.0004074359021615237
27,20,50,-0.000307151087326929,0.0015156706795096397,0.0004019653715658933
10,19,50,0.0003325855650473386,0.001316008041612804,0.0003989922988694161
31,6,50,0.0003411710204090923,0.0011671343818306923,0.0003944408963434398
12,21,50,0.0003160631749778986,0.0010483551304787397,0.0003885114274453372
8,9,50,0.00013343215687200427,0.0010377413127571344,0.00038817047607153654
27,11,50,-0.00031083941576071084,0.0020729079842567444,0.00038276315899565816
16,6,50,0.00037182332016527653,0.0011703848140314221,0.0003826403699349612
22,9,50,2.3578404579893686e-05,0.001181826344691217,0.0003826391766779125
21,8,50,4.032254219055176e-05,0.001048726262524724,0.00038225293974392116
12,1,50,0.00022989630815573037,0.0010699675185605884,0.000381616351660341
27,7,50,-0.00034064173814840615,0.0018554833950474858,0.0003796064993366599
11,9,50,0.00022763252491131425,0.00107585359364748,0.00037937640445306897
19,13,50,0.0003748416784219444,0.000947297434322536,0.00037902832264080644
